feature,coef,p_value,ci_low,ci_high,significant_0.05
const,-957.49186533744,4.989551753809086e-119,-1022.3137465553282,-892.6699841195518,True
Urban_pct,0.02651714170336694,7.873655308697931e-07,0.01607694888963533,0.036957334517098546,True
population_log,-1.2791051582821247,1.630804219318064e-28,-1.4950808563949711,-1.0631294601692782,True
electricity_generation_log,2.2009609708968148,2.4593881721021454e-59,1.9617105990147201,2.4402113427789094,True
Greenhouse gas emissions per capita,-0.08177114578244106,1.2199336940206125e-07,-0.11178132758667296,-0.05176096397820916,True
year,0.4832464683128194,1.678440951990744e-122,0.4512323481774289,0.51526058844821,True
