region_country,year,code,Greenhouse gas emissions per capita,population,electricity_generation,Urban_pct,ev_sales,ev_sales_log,population_log,electricity_generation_log,electricity_per_capita,ev_sales_share
China,2010,CHN,7.62744,1351561505,4207.160156,49.23402706,1440.0,7.273092595999522,21.024526432079217,8.344780813579218,3.112814430150554e-06,0.01
China,2011,CHN,8.345987,1360250658,4713.02002,51.83002853,5120.0,8.54110501146255,21.030934827799957,8.458296330411114,3.4648173057527754e-06,0.034
China,2012,CHN,8.416323,1369520866,4987.540039,53.10031128,9860.0,9.19634286233233,21.037726783499117,8.514898568581751,3.641813836372757e-06,0.073
China,2013,CHN,8.4788885,1379008040,5431.629883,54.49000168,15730.0,9.663388566822505,21.04463026677756,8.600178620358356,3.938794934799655e-06,0.095
China,2014,CHN,8.421998,1387951970,5794.450195,55.75025558,73000.0,11.19822841866684,21.05109509540639,8.664828439555354,4.174820397423407e-06,0.4
China,2015,CHN,8.339434,1396134171,5814.580078,57.32978439,211000.0,12.259618151783465,21.056972948416004,8.668295815437537,4.164771695141039e-06,1.0
China,2016,CHN,8.10709,1404052628,6133.160156,58.83992386,339000.0,12.733758336210744,21.06262862689022,8.721628453886657,4.3681839510078536e-06,1.5
China,2017,CHN,8.2294655,1412354730,6604.439941,60.24026871,580000.0,13.270785106659046,21.068524170386194,8.795648822005482,4.6761906203266655e-06,2.4
China,2018,CHN,8.449486,1419008954,7166.140137,61.50019836,1090000.0,13.901689171636098,21.073224545886646,8.877261988893315,5.0501021271216025e-06,4.7
China,2019,CHN,8.656276,1423520357,7503.430176,62.70991516,1060000.0,13.87378040948403,21.076398765949964,8.923248815268987,5.2710381970322605e-06,5.0
China,2020,CHN,8.781991,1426106093,7779.069824,63.52342303,1140000.0,13.946539697563276,21.07821355589049,8.959320591939361,5.454762350559567e-06,5.7
China,2021,CHN,9.084501,1426437269,8534.259766,64.72107697,3250000.0,14.99416586199818,21.078445752887504,9.051961070149108,5.982919790074553e-06,15.0
China,2022,CHN,9.435246,1425179562,8848.709961,65.21763611,5900000.0,15.59046307836746,21.07756365185135,9.088139964696575,6.2088386593071285e-06,29.0
China,2023,CHN,9.79513,1422584930,9456.450195,65.5301448,8100000.0,15.90737474309945,21.075741427630614,9.154558090302464,6.647371271534557e-06,38.0
China,2024,CHN,9.939262,1419321284,10086.87988,65.8946981,11300000.0,16.24031337217814,21.073444625986458,9.21908997035737,7.1068333813558175e-06,48.0
